#v110,,,,新增,新增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,使用类型ID,掉落货币数值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#物品编号,类型,图标编号,名字,背包名称,角色,颜色,装备类别,装备类别2,最小物防,最大物防,最小魔防,最大魔防,最小物理攻击,最大物理攻击,最小魔法攻击,最大魔法攻击,最小道术攻击,最大道术攻击,幸运,准确,闪避,HP上限,MP上限,HP上限百分比,MP上限百分比,暴击率,暴击力,掉落守护,等级限制,出售价格,转生等级限制,品质,职业,性别,帮会捐献值,摧毁提示,装备内功,回收金币,回收经验,回收朱雀,回收元宝,是否可使用,能否摧毁,能否存入仓库,能否推送,背包是否显示使用标志,限定次数用完之后是否显示推送,功能配置,功能参数,物品描述,获取途径,绑定类型,一键使用,礼包id,特殊属性表id,外观资源,贵重物品,物防附加值,魔防附加值,物理攻击附加值,魔法攻击附加值,道术攻击附加值,准确附加值,闪避附加值,HP上限附加最大值,MP上限附加最大值,暴击几率附加最大值,暴击力附加最大值,韧性附加最大值,附加值最小个数,附加值最大个数,物品爆率权重,装备套装ID,套装属性描述,触发BUFF ID,装备种类,神装动画名称,非消耗类道具使用功能ID,掉落是否公告,无极属性特殊属性表ID
#type_id,sub_type,icon_id,name,name,0,color,equip_type,equip_type2,ac(物防),ac2,mac魔防,mac2,dc（战攻）,dc2,mc（魔法攻击）,mc2,sc（道术攻击）,sc2,luck,accuracy,dodge,max_hp,max_mp,max_hp_pres,max_mp_pres,baoji_prob,baoji_pres,drop_luck,needlevel,price,need_zslevel,equip_level,job,gender,equip_contribute,destory_show,add_power,recycle_money,recycle_exp,recycle_xuefu,,can_use,can_destroy,can_depot,can_push,bag_show,times_limit,func_id,func_params,desp,source,bind_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11101015,1,11101006,冥王手套,武·20级,0,3,5,6,1,2,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,0,0,1,0,0,4800,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101016,1,11101007,荡魔戒指,武·20级,0,3,7,8,2,3,2,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,0,0,1,0,0,4800,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101017,1,11101008,青面兽纹带,武·20级,0,3,10,0,1,2,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,0,0,1,0,0,4800,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101018,1,11101009,锦锻皮靴,武·20级,0,3,9,0,1,2,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,0,0,1,0,0,4800,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101019,1,11101028,日月刃,武·30级,0,3,1,0,0,0,0,0,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,10560,43,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101020,1,11101029,连环战甲(男),武·30级,0,3,3,0,7,9,7,9,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,200,0,1,0,0,8880,34,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101021,1,11101030,连环战衣(女),武·30级,0,3,3,0,7,9,7,9,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,201,0,1,0,0,8880,34,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101022,1,11101004,镔铁头盔,武·30级,0,3,2,0,5,7,5,6,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,7200,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101023,1,11101005,琉璃项链,武·30级,0,3,4,0,0,0,0,0,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,7200,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101024,1,11101006,精钢护手,武·30级,0,3,5,6,5,6,4,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,7200,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101025,1,11101007,千钧戒指,武·30级,0,3,7,8,6,7,5,7,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,7200,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101026,1,11101008,蛮王腰带,武·30级,0,3,10,0,5,6,4,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,7200,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101027,1,11101009,蛮王靴子,武·30级,0,3,9,0,5,6,4,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,7200,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101028,1,11101028,镇恶,武·40级,0,3,1,0,0,0,0,0,70,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,14080,88,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101029,1,11101029,玄武战甲(男),武·40级,0,3,3,0,21,26,19,24,33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,200,0,1,0,0,11840,70,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101030,1,11101030,玄武战衣(女),武·40级,0,3,3,0,21,26,19,24,33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,201,0,1,0,0,11840,70,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101031,1,11101004,玄武头盔,武·40级,0,3,2,0,16,19,14,18,25,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,9600,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101032,1,11101005,玄武项链,武·40级,0,3,4,0,0,0,0,0,45,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,9600,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101033,1,11101006,玄武手镯,武·40级,0,3,5,6,15,18,13,17,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,9600,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101034,1,11101007,玄武戒指,武·40级,0,3,7,8,17,21,15,20,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,9600,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101035,1,11101008,玄武腰带,武·40级,0,3,10,0,13,16,12,15,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,9600,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101036,1,11101009,玄武靴子,武·40级,0,3,9,0,13,16,12,15,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,9600,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101037,1,11101028,百裂,武·50级,0,3,1,0,0,0,0,0,112,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,17600,125,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101038,1,11101029,明光战铠(男),武·50级,0,3,3,0,34,41,31,39,53,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,200,0,1,0,0,14800,100,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101039,1,11101030,明光战衣(女),武·50级,0,3,3,0,34,41,31,39,53,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,201,0,1,0,0,14800,100,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101040,1,11101040,翻天头盔,武·50级,0,3,2,0,26,31,23,30,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,12000,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101041,1,11101041,翻天项链,武·50级,0,3,4,0,0,0,0,0,72,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,12000,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101042,1,11101042,翻天手镯,武·50级,0,3,5,6,23,28,21,27,36,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,12000,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101043,1,11101043,翻天戒指,武·50级,0,3,7,8,28,33,25,32,43,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,12000,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101044,1,11101044,翻天腰带,武·50级,0,3,10,0,21,26,19,24,33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,12000,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101045,1,11101045,翻天靴子,武·50级,0,3,9,0,21,26,19,24,33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,12000,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101046,1,11101046,龙图战刀,武·60级,0,4,1,0,0,0,0,0,179,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,2200,1,0,0,21120,260,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101047,1,11101047,九龙金甲(男),武·60级,0,4,3,0,56,67,50,63,85,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,200,1800,1,0,0,17760,208,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101048,1,11101048,九龙金衣(女),武·60级,0,4,3,0,56,67,50,63,85,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,201,1800,1,0,0,17760,208,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101049,1,11101040,龙渊头盔,武·60级,0,4,2,0,42,50,37,48,64,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,1200,1,0,0,14400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101050,1,11101041,龙渊项链,武·60级,0,4,4,0,0,0,0,0,116,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,1200,1,0,0,14400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101051,1,11101042,龙渊手镯,武·60级,0,4,5,6,38,46,34,44,59,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,1200,1,0,0,14400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101052,1,11101043,龙渊戒指,武·60级,0,4,7,8,45,54,40,51,69,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,1200,1,0,0,14400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101053,1,11101044,龙渊腰带,武·60级,0,4,10,0,34,41,31,39,53,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,1200,1,0,0,14400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101054,1,11101045,阴阳靴子,武·60级,0,4,9,0,34,41,31,39,53,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,1200,1,0,0,14400,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101055,1,11101046,傲天战刃,武·70级,0,4,1,0,0,0,0,0,292,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,0,4500,1,0,0,42240,330,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101056,1,11101047,龙渊圣铠(男),武·70级,0,4,3,0,92,110,82,105,140,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,200,3600,1,0,0,35520,264,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101057,1,11101048,龙渊圣袍(女),武·70级,0,4,3,0,92,110,82,105,140,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,201,3600,1,0,0,35520,264,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101058,1,11101058,圣王战盔,武·70级,0,4,2,0,69,82,61,78,105,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,0,2500,1,0,0,28800,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
11101059,1,11101059,圣王战链,武·70级,0,4,4,0,0,0,0,0,189,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,0,2500,1,0,0,28800,0,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,,,,
