#v110,,,,新增,新增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,使用类型ID,掉落货币数值,,,,,,,,,,,,,,,,,,,,,,,,,,,
#物品编号,类型,图标编号,名字,背包名称,角色,颜色,装备类别,装备类别2,最小物防,最大物防,最小魔防,最大魔防,最小物理攻击,最大物理攻击,最小魔法攻击,最大魔法攻击,最小道术攻击,最大道术攻击,幸运,准确,闪避,HP上限,MP上限,HP上限百分比,MP上限百分比,暴击率,暴击力,掉落守护,等级限制,出售价格,转生等级限制,品质,职业,性别,帮会捐献值,摧毁提示,装备内功,回收金币,回收经验,回收朱雀,回收元宝,是否可使用,能否摧毁,能否存入仓库,能否推送,背包是否显示使用标志,限定次数用完之后是否显示推送,功能配置,功能参数,物品描述,获取途径,绑定类型,一键使用,礼包id,特殊属性表id,外观资源,贵重物品,物防附加值,魔防附加值,物理攻击附加值,魔法攻击附加值,道术攻击附加值,准确附加值,闪避附加值,HP上限附加最大值,MP上限附加最大值,暴击几率附加最大值,暴击力附加最大值,韧性附加最大值,附加值最小个数,附加值最大个数,物品爆率权重,装备套装ID,套装属性描述,触发BUFF ID,装备种类
#type_id,sub_type,icon_id,name,name,0,color,equip_type,equip_type2,ac(物防),ac2,mac魔防,mac2,dc（战攻）,dc2,mc（魔法攻击）,mc2,sc（道术攻击）,sc2,luck,accuracy,dodge,max_hp,max_mp,max_hp_pres,max_mp_pres,baoji_prob,baoji_pres,drop_luck,needlevel,price,need_zslevel,equip_level,job,gender,equip_contribute,destory_show,add_power,recycle_money,recycle_exp,recycle_xuefu,,can_use,can_destroy,can_depot,can_push,bag_show,times_limit,func_id,func_params,desp,source,bind_type,,,,,,,,,,,,,,,,,,,,,,,,
11101018,1,11101009,锦锻皮靴,武·20级,0,3,9,0,9,13,9,13,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,100,0,0,1,0,0,1600,11,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101019,1,11101028,日月刃,武·30级,0,3,1,0,0,0,0,0,101,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,2400,43,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101020,1,11101029,连环战甲(男),武·30级,0,3,3,0,88,132,88,132,22,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,200,0,1,0,0,2000,34,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101021,1,11101030,连环战衣(女),武·30级,0,3,3,0,88,132,88,132,22,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,201,0,1,0,0,2000,34,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101022,1,11101004,镔铁头盔,武·30级,0,3,2,0,43,66,43,66,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,1600,27,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101023,1,11101005,琉璃项链,武·30级,0,3,4,0,0,0,0,0,42,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,1600,27,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101024,1,11101006,精钢护手,武·30级,0,3,5,6,16,25,16,25,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,1600,27,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101025,1,11101007,千钧戒指,武·30级,0,3,7,8,0,0,0,0,22,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,1600,27,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101026,1,11101008,蛮王腰带,武·30级,0,3,10,0,30,46,30,46,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,1600,27,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101027,1,11101009,蛮王靴子,武·30级,0,3,9,0,21,33,21,33,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,100,0,0,1,0,0,1600,27,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101028,1,11101028,镇恶,武·40级,0,3,1,0,0,0,0,0,182,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,2400,88,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101029,1,11101029,玄武战甲(男),武·40级,0,3,3,0,159,238,159,238,40,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,200,0,1,0,0,2000,70,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101030,1,11101030,玄武战衣(女),武·40级,0,3,3,0,159,238,159,238,40,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,201,0,1,0,0,2000,70,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101031,1,11101004,玄武头盔,武·40级,0,3,2,0,79,118,79,118,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,1600,56,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101032,1,11101005,玄武项链,武·40级,0,3,4,0,0,0,0,0,76,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,1600,56,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101033,1,11101006,玄武手镯,武·40级,0,3,5,6,31,46,31,46,81,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,1600,56,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101034,1,11101007,玄武戒指,武·40级,0,3,7,8,0,0,0,0,40,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,1600,56,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101035,1,11101008,玄武腰带,武·40级,0,3,10,0,55,82,55,82,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,1600,56,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101036,1,11101009,玄武靴子,武·40级,0,3,9,0,39,58,39,58,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,100,0,0,1,0,0,1600,56,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101037,1,11101028,百裂,武·50级,0,3,1,0,0,0,0,0,288,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,4800,125,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101038,1,11101029,明光战铠(男),武·50级,0,3,3,0,250,378,250,378,64,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,200,0,1,0,0,4000,100,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101039,1,11101030,明光战衣(女),武·50级,0,3,3,0,250,378,250,378,64,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,201,0,1,0,0,4000,100,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101040,1,11101040,翻天头盔,武·50级,0,3,2,0,124,189,124,189,40,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,3200,80,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101041,1,11101041,翻天项链,武·50级,0,3,4,0,0,0,0,0,120,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,3200,80,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101042,1,11101042,翻天手镯,武·50级,0,3,5,6,49,75,49,75,128,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,3200,80,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101043,1,11101043,翻天戒指,武·50级,0,3,7,8,0,0,0,0,64,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,3200,80,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101044,1,11101044,翻天腰带,武·50级,0,3,10,0,87,132,87,132,40,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,3200,80,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101045,1,11101045,翻天靴子,武·50级,0,3,9,0,61,94,61,94,40,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,100,0,0,1,0,0,3200,80,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101046,1,11101046,龙图战刀,武·60级,0,3,1,0,0,0,0,0,419,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,4800,1,0,0,4800,260,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101047,1,11101047,九龙金甲(男),武·60级,0,3,3,0,364,547,364,547,93,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,200,2400,1,0,0,4000,208,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101048,1,11101048,九龙金衣(女),武·60级,0,3,3,0,364,547,364,547,93,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,201,2400,1,0,0,4000,208,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101049,1,11101040,龙渊头盔,武·60级,0,3,2,0,181,273,181,273,58,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,500,1,0,0,3200,166,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101050,1,11101041,龙渊项链,武·60级,0,3,4,0,0,0,0,0,174,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,500,1,0,0,3200,166,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101051,1,11101042,龙渊手镯,武·60级,0,3,5,6,72,109,72,109,186,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,500,1,0,0,3200,166,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101052,1,11101043,龙渊戒指,武·60级,0,3,7,8,0,0,0,0,93,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,500,1,0,0,3200,166,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101053,1,11101044,龙渊腰带,武·60级,0,3,10,0,127,192,127,192,58,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,500,1,0,0,3200,166,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101054,1,11101045,阴阳靴子,武·60级,0,3,9,0,90,136,90,136,58,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,100,0,500,1,0,0,3200,166,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101055,1,11101046,傲天战刃,武·70级,0,4,1,0,0,0,0,0,573,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,0,12000,1,0,0,33600,330,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101056,1,11101047,龙渊圣铠(男),武·70级,0,4,3,0,499,750,499,750,127,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,200,6300,1,0,0,28000,264,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101057,1,11101048,龙渊圣袍(女),武·70级,0,4,3,0,499,750,499,750,127,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,201,1500,1,0,0,28000,264,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,610077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101058,1,11101058,圣王战盔,武·70级,0,4,2,0,249,375,249,375,79,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,0,1500,1,0,0,22500,211,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101059,1,11101059,圣王战链,武·70级,0,4,4,0,0,0,0,0,238,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,0,1500,1,0,0,22500,211,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101060,1,11101060,圣王战镯,武·70级,0,4,5,6,99,150,99,150,254,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,0,1500,1,0,0,22500,211,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
11101061,1,11101061,圣王战戒,武·70级,0,4,7,8,0,0,0,0,127,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,100,0,1500,1,0,0,22500,211,0,0,0,1,1,0,0,0,0,null,boss掉落、藏宝阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1
