序号,礼包码,礼包物品列表,是否通用,生效时间,失效时间,礼包类型
28,042eLqfykUdDu,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
29,042emU7Ny8ymk,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
30,042ESEVpDUDf2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
31,042F8HhcOPDrs,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
32,042FCtPXXR3Ph,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
33,042fDTSuBHtDy,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
34,042FfyzdOrfh5,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
35,042FgyiCpU6jp,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
36,042FnJY9Sah8u,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
37,042FuJhPiCymW,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
38,042FZayvArauS,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
39,042gAUVChWTir,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
40,042gCQWxYDv5C,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
41,042GgTJn2FM7E,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
42,042gJYeT4CJXU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
43,042Gn3FgJFGaU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
44,042H8pgXa6DY5,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
45,042HdmEGwN22E,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
46,042hrR7JyyOah,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
47,042hVn26gbf7M,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
48,042hWjtDgte7g,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
49,042iEXbtAF5d7,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
50,042iN8Dwzv2gb,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
51,042iZdcwaRrPP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
52,042j2mvU2DmAY,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
53,042JANCUzgbuv,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
54,042Jdzhr97w3c,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
55,042JgkbaPN7hC,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
56,042jK9RqkHpLz,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
57,042jYSjRjMPLU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
58,042K22t7cuzRT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
59,042k8Y85ZkhCQ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
60,042kaZznEu4dd,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
61,042KGcvNFGRwB,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
62,042kJ2Z9FEQ6t,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
63,042KRmuCzBndZ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
64,042KTWLWkQnfO,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
65,042KuggDxzWFE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
66,042kWizhJ7fau,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
67,042Kwqj2iE7m3,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
68,042LFXhR6mFm9,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
69,042LsR54Cfg46,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
70,042M3emVCGp29,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
71,042mCUYvJydBX,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
72,042MGDeqXDAEN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
73,042MH4hnEebnu,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
74,042mrXruRLyyQ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
75,042mZxPuXRLBP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
76,042NaYrX52PKv,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
77,042ncCADgdcm4,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
78,042NdxVvGQsmJ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
79,042NHkv5eUbED,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
80,042nrjhLtfQH3,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
81,042NzTgZSrykE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
82,042OdbTmCmAww,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
83,042OGm8Ap3byD,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
84,042OTCZbMMdc9,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
85,042pDrOmqC6xT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
86,042PhO4bJSLf6,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
87,042pKShXKSdUM,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
88,042PmtwULPJuX,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
89,042PPaFNKPROg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
90,042PPvHqwrqJm,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
91,042pRNzWsY6fF,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
92,042PRUyOhuA4H,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
93,042PY63gBF7jU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
94,042qd6BZHJhkR,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
95,042Qe426OsijH,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
96,042qgGu8bD7yF,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
97,042QS2HkbqXdW,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
98,042qy73Mcpvp3,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
99,042QZw8HLD8TV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
100,042r9NHaOZ4aX,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
101,042RcdNBu4W3L,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
102,042RmN6C6tMLj,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
103,042rnuk7QZaQ8,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
104,042rutnMx4qsU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
105,042rYQLu6mpjv,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
106,042s7qzteDbqx,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
107,042SBaSqTi62e,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
108,042SdcBKT5c7x,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
109,042SDCKEX7xaD,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
110,042sOuvO5Dk6h,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
111,042SrP6kgyUa8,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
112,042sVneuhgQqP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
113,042TKnFGQdJEB,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
114,042TR78sGnmxV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
115,042TuT88QUefJ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
116,042tVUgBGVLgA,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
117,042tz2seYz5eg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
118,042ubKMrj7i74,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
119,042ugAaTt9vFV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
120,042uORScsFD68,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
121,042urf7sMehkZ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
122,042uThh39Nyj3,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
123,042Uuzw2KTJTV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
124,042VEcYchNM3t,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
125,042vHRDCMtJ9i,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
126,042VOemfYAQEr,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
127,042VQ6QLF4Ox2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
128,042w5O2apR73t,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
129,042wK9hxiCXdD,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
130,042wmPQ3qDKww,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
131,042Wtju4Wex4N,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
132,042wWwDSK9k5T,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
133,042wXSYn89YDd,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
134,042XceP9JxZPZ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
135,042xNZAtTK5Xt,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
136,042XNZjF76M6Y,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
137,042Xp2Hg4eshM,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
138,042YnvjvRPvT8,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
139,042YpU4VKWFnr,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
140,042YzS6eyqW5E,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
141,042zhEPZjZZaf,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
142,042ZpebMF7Dvv,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
143,042ZqCYbBWBfh,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
144,042ZyC4Xd6tnT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
145,042zyOjYXfRZz,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
146,042ZzMHN4f4bP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
147,042zZv5PjgzsU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
148,0432aBZYMPFi8,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
149,0432hGUe7kHhF,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
150,0432n3naYsdfz,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
151,0432T4NOpZ5CP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
152,0432XesM7gPiO,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
153,0432YzdLkgt6q,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
154,0433FDrtaAFqv,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
155,0433Y4mR3C5PM,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
156,04349yVdqWkkD,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
157,0434AhxOFCuwR,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
158,0434Dm6uOhS3G,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
159,0434dZA4vCLmd,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
160,0434N8KNWpP9z,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
161,04364AeHPfnwW,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
162,04367yAg4qkfT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
163,0436hGudhrAPh,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
164,0436X9QQ2tqvm,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
165,04375EaKVZL49,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
166,0437MS6Uwu9XL,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
167,0437nrKJRk7LF,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
168,0437VOZPgFw7n,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
169,0438Mv9wwJ3GT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
170,0438TUVhpwT2D,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
171,0438Utxx653zM,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
172,0438ZC8nNpdLW,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
173,04397iGdwCYFh,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
174,0439ehYwGjJ8R,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
175,043aHKMRwi6Tq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
176,043AkRZ9xz7W4,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
177,043AqegDPqfug,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
178,043AswNKNXtGB,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
179,043BcxPSzzuZM,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
180,043bdJA9wxsMA,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
181,043BF6DRBqUEA,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
182,043bukUZK5k9d,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
183,043cguqMD2Fi9,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
184,043cmFyn9WrGO,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
185,043cnfCxBCuiw,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
186,043CNtFLD5LDO,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
187,043CpCax52nMP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
188,043cQ7LZf6uK2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
189,043CTMBtANjTg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
190,043CWpBMAVZCS,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
191,043d8S7UOc3Ca,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
192,043Dmuq3bUcc4,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
193,043DN8R3xOaN9,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
194,043Dq26AOniju,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
195,043drZ6wvKCKE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
196,043EbWLpjjpLT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
197,043ehwjW55UHq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
198,043eMuihiXJCp,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
199,043ewhRU3j6Xs,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
200,043ewq4BCpUJd,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
201,043f7OJahrrw9,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
202,043FhSDKWcdUW,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
203,043FrWwOUVLgw,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
204,043g3QvYbaZYU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
205,043GdhwryGSx2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
206,043gDPSU4vdkG,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
207,043gDpwth5KMq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
208,043gKSpd9O5WY,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
209,043gmGaEiPT8u,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
210,043gMsFKzqQpK,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
211,043GtJwXmA4Gc,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
212,043hAk62Bt4nr,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
213,043hDGyLse5RT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
214,043Hfkrv9cUWs,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
215,043Hn3aZfnOH2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
216,043hPaYWsAURn,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
217,043HQOTKimG3P,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
218,043HtJ2g7V6u5,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
219,043hW7ub4zrg5,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
220,043i3BRfVHAvr,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
221,043i3uLewABgB,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2026-04-13 00:00:00",5
