序号,礼包码,礼包物品列表,是否通用,生效时间,失效时间,礼包类型
18,0427F3fdkibaA,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
19,0427L4sRQD6xc,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
20,0427LTAR3RkeV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
21,0427O3FG2UEX8,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
22,0427ZJFGGNWKc,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
23,0427ZpyrEAJdP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
24,0428KQUAg4Zfx,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
25,0428ttMtcGm9B,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
26,04298RAX89Tu8,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
27,042A4c8Xjm5Rf,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
28,042A4hNTUZvcE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
29,042abfHupLdg2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
30,042aD5UqxwaOO,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
31,042arMErJz9FK,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
32,042aSi4WzXyJS,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
33,042bJFtV76nKy,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
34,042bQVwD9dxML,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
35,042br4Egd9Ytm,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
36,042BUKQJXXACm,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
37,042BvQOUmRtDp,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
38,042bWOpgfjj7G,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
39,042CBAO2fGTkN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
40,042cgyPPQzdps,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
41,042cR7FedQBFr,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
42,042cUdmpmmytF,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
43,042dac9Kx5b9r,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
44,042DsNNRqrvHa,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
45,042dTJ99Jf7sL,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
46,042dtphDFhftp,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
47,042DzvXWNtra9,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
48,042eAzszZS93V,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
49,042EBn53MdSUm,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
50,042eBykXUd4Qg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
51,042Eh9kATeKTQ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
52,042ehTsriOKUu,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
53,042ELtUzdzfG9,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
54,042EUncHJLpcs,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
55,042Evusq3wEWi,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
56,042EXcsfAphkJ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
57,042fbTKZSsMA4,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
58,042FcbSyYPsjN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
59,042Ff2M6ixT52,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
60,042FG758snGCz,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
61,042fJ67327vb4,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
62,042g2JQe5PJMd,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
63,042G9pNKbK3j2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
64,042gbpFuK8Cfg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
65,042gLhKgXaSi2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
66,042GnMxHc5r6u,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
67,042grFKz3w7Tg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
68,042GrjicOHyhz,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
69,042GVeKVMF3aN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
70,042gVrmO85ckN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
71,042gX3DQPCtqN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
72,042hgQjbjmmKj,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
73,042HhZaJ2ZUsC,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
74,042hKCmXnZt9x,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
75,042HueNKcCUxG,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
76,042HwrPFpH3p3,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
77,042ikgjzAk5CX,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
78,042iNr8iQKaHf,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
79,042iyVOL8eXcc,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
80,042J3NXUuOKwa,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
81,042j8NFGAmyee,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
82,042jDZc3xt8Hq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
83,042JOk8gQRyed,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
84,042jpAyaNJrm3,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
85,042JQtAJ2qtb4,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
86,042keLVCV8eFs,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
87,042knYjK2MtMX,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
88,042KObXx8PONN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
89,042kSmHPv9JpG,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
90,042kSYgMZKmMw,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
91,042kxB7KQMHch,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
92,042LDjddmJycq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
93,042LKzE6UzTDC,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
94,042LMjqWF5Vam,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
95,042LtXzPXBpTF,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
96,042m4BabXOuQb,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
97,042m9CiNSXSqi,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
98,042m9xOkt3bUb,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
99,042McM5g5tnNE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
100,042MDikwqHKmr,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
101,042ME5Ke47NVm,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
102,042MftSmT2Cuy,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
103,042MHaxstFwpU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
104,042mjFMAthzYe,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
105,042mJVF8P7HyA,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
106,042MKLfHrCkRm,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
107,042mKVbska7yT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
108,042mLNKsdzjgB,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
109,042mtgziVU9JL,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
110,042nMwH9ntCiC,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
111,042nnv4bG7PDR,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
112,042NZsmsTXrvc,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
113,042OE5mpuAbVg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
114,042OjTuMdt2mV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
115,042OOb2wArVM4,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
116,042OsQOZLSCD9,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
117,042OVwJbUSava,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
118,042p579DYC3B6,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
119,042PaByC8VFWm,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
120,042PbW4aF2LzL,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
121,042pE2Q5m8DTV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
122,042pTRYORrBqL,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
123,042PXVPrJaVDu,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
124,042qB9X9ZJB2h,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
125,042qBRCLGHUfE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
126,042QFnYEVxr8t,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
127,042qGYrK4CNLd,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
128,042QiAAgbFVCV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
129,042qOEYkicRTj,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
130,042qqugBHHJ5L,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
131,042qRk8YF6Fb3,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
132,042QstpX9M6CG,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
133,042qUNDUv64jT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
134,042r8PYLNOx9N,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
135,042RctMtY2bTN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
136,042rFOUdKtLtj,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
137,042RtiC6W9FBC,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
138,042RwrLFA97ec,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
139,042RZPknu2LvY,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
140,042S24PSWan6e,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
141,042s3kSegSzD6,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
142,042s78cByHXHf,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
143,042sBLqZbQAWn,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
144,042SdgTFWNTyO,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
145,042SEO9qpYBgZ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
146,042SNw866UZXW,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
147,042sOzVBXDniP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
148,042SRbgxy4c32,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
149,042SzPZKbYvSx,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
150,042t36DzCuBfQ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
151,042tdhaCBKbxG,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
152,042tGEabxxvNU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
153,042tGOC8NOONg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
154,042tifBdjcM6F,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
155,042TqDKiOMjgg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
156,042trxPsGAyGw,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
157,042UavZBtwc5b,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
158,042UbEA73237q,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
159,042UkVqvDaepq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
160,042UOufii5vLk,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
161,042UuCXvL4Cy2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
162,042uUen5XVAwO,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
163,042uvPySmv5eU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
164,042vEgjaTLS7u,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
165,042VLnPu57HPG,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
166,042vsQiUmUEMq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
167,042VxbY6EMYBA,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
168,042vxDSEVxzPV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
169,042WptBMRSmvh,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
170,042wQVVd4xMpP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
171,042wyNHbSveFe,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
172,042WyNsgHJGkv,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
173,042x9tbBHCkrs,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
174,042x9XuDcM7NE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
175,042XAaM6CREfq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
176,042xcqczaRUYy,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
177,042xCRB54DSRN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
178,042xkJ6qSpB7k,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
179,042XNnd7U6ivP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
180,042XyiJfENjj5,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
181,042xyqhfeAihy,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
182,042Y6BRxsfrT7,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
183,042YeYFkKraye,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
184,042yffNYOEXUU,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
185,042YNuDnPKUTB,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
186,042YUPtMh2iii,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
187,042YwvT3LLYPN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
188,042YWXpkJ4vR2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
189,042z8Ch7WDxrc,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
190,042zAM7Q8VFN2,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
191,042ZaseNxdddg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
192,042ZbL9xYFaFH,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
193,042ZDDbeMX7Tj,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
194,042Zdz8tqiuwf,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
195,042ZQ2dJONTXW,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
196,0432LUcPPECUT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
197,0432PeDCFOsUQ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
198,0432Pf6ZaOgjH,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
199,0433mMWBmM845,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
200,0433Tupjn4fdX,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
201,0435akwkjLBNE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
202,0435e7cB75QjG,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
203,0435EVOXjuakE,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
204,0435G4e9Mwi6h,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
205,04364CBiXLWdq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
206,04366s6szYCe7,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
207,0437aJ4zDVXpA,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
208,0437Gf5yLc96D,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
209,0438avijQC5XW,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
210,0438FLD9jLgST,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
211,04397dAHupnZt,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
212,04397HDpYgZxN,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
213,04397SKBCXzfH,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
214,0439k9F7RLRCA,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
215,0439vqc7PWLFf,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
216,0439ygBWQ4hr6,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
217,043a97DFDNudf,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
218,043a9HvZ6tcCg,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
219,043A9LQ4uj9UC,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
220,043aGZSqyEKhV,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
221,043AY5g5jysOt,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
222,043B2ZfLOh6Dr,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
