序号,礼包码,礼包物品列表,是否通用,生效时间,失效时间,礼包类型
51,035JDf3wfAEPd,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
52,035MzY9Anjx3h,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
53,035NFuOPzKWG2,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
54,035nGwKMt5TBQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
55,035OeT3cKBjBF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
56,035OfEgjhHpCp,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
57,035T3jLFJAnEM,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
58,035TNRr5pkXbe,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
59,035UssV23j8eO,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
60,035XTeNsYqp3D,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
61,035Z3a2gvO8WN,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
62,0369Gp79LGMC7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
63,036ewLaeBNeVp,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
64,036GxCQX3zCMX,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
65,036GyKhbexWTA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
66,036JVdQqfYdZH,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
67,036KnPQXsZNt5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
68,036mLbaD6AYWX,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
69,036my7BFq33Td,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
70,036NuCUJLSMHU,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
71,036OH7sZyjNnW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
72,036q5vdkzUV6j,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
73,036tCM2GmzfTe,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
74,036UCUtqYNG9p,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
75,036yGXXBFyGW4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
76,036ZChVgj7Qbe,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
77,03755DVqbcp4n,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
78,0375jxGz6Jrqr,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
79,0379NiiyEGNKD,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
80,037eOkyf4V4g5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
81,037F9jHy6Xdjb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
82,037gUXbmxbnvg,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
83,037irsEvXTUrq,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
84,037kdYgKeVTJB,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
85,037kgwmaRsNN4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
86,037pVteQ4fDyN,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
87,037qAeG2erreb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
88,037qXywPj92pG,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
89,037RRRYU7Mr22,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
90,037sKk8HO74jC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
91,037vpOybsGGcr,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
92,037VX4KLR3PCJ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
93,037xtGJRbpaQD,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
94,037Y3FEBAkf6j,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
95,038bcX7RvKVMk,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
96,038exsQYjtgv6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
97,038JbZcEYcSnr,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
98,038mTvQknkSZ2,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
99,038NF5Nh2wkYA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
100,038OgG7gJKDtF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
101,038qnsY4EVRai,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
102,038W5EH4THC5m,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
103,038XYMGZCmfqP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
104,038yRJLkNmBL7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
105,0398rNKS5ZWJa,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
106,0398SgtsWu7M9,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
107,039hSswWrzRMC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
108,039kHRZGU8BNa,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
109,039KOnOTgxVtV,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
110,039MkwMJ3HRkH,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
111,039O5JOCOcsXD,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
112,039O9N6HFbFPD,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
113,039pwS4fKqiBF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
114,039qRxiXrvRbQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
115,039WhejEAT864,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
116,039wrxmpX7sUZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
117,039y8hgABhS7Z,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
118,039zhEgP3nPGn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
119,039ZZix3Yjvzf,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
120,03a2kw7KN5cp3,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
121,03A94B2V7ZvJ8,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
122,03a9dK23gi7bZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
123,03A9HXvPirMMJ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
124,03A9ZBAnkU5Vv,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
125,03AaXbs2kSyge,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
126,03aBbCawUGVA7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
127,03AenjhxmaRtE,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
128,03AeqwvYmzgLt,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
129,03aGrK5AcEMHC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
130,03Ah5McdnxHve,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
131,03aHLgBO3wnuC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
132,03Aj353VmEH4q,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
133,03Aj8iXAyUXUP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
134,03akfTrhOHKXs,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
135,03AOE6ammW55Y,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
136,03ap4rV5Tepcb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
137,03aP6uWtUakbQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
138,03AQNZaBJCBC4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
139,03aQpxLXUhdaS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
140,03aQqxpYPzXSa,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
141,03aRkd34Fvnta,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
142,03AS8CgBuO9FS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
143,03AScbWtjss9G,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
144,03asKKLvp3WuJ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
145,03aSyDG2NSd2H,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
146,03ATBSXLdQXHu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
147,03AtNvxXKUpbE,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
148,03AuHGiTzPWWs,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
149,03aXQyn9qNn7O,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
150,03aYAMR7DOssn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
151,03AyCKGiKaWsH,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
152,03AYhOWd8QTBG,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
153,03AyiKgBSsC3j,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
154,03azHKmWSEka3,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
155,03b3wzXyqc4Um,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
156,03b5cF2qpbzJs,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
157,03b837JSh2gXi,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
158,03b97nHYqJZR4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
159,03B9iEw2D6x6a,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
160,03bBuYaJXyySb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
161,03bC6eUhHgDTq,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
162,03BdQyHiOZ2Qn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
163,03bFN4GeZ5PnV,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
164,03bgwzppn3BST,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
165,03BjPGzJkKsX9,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
166,03BKDTirnqePY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
167,03bKWL92hKb6W,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
168,03bKxHcPHZpwg,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
169,03BL5wvFfYGMu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
170,03bmVhV554hae,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
171,03bNx82EKd8Mu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
172,03bnZNv6XWSrz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
173,03BOWOMkDUdni,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
174,03bp8cZdfFNmf,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
175,03BPut3vgrBGB,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
176,03bqDzO2VKpAW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
177,03br4nasadDEz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
178,03brHAtkFwR3N,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
179,03bs6NEdyq9Vd,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
180,03BSfarVpAZFz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
181,03bSpycTktdMP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
182,03btssmQ9YKzx,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
183,03bu95SVnEXRG,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
184,03BuJJueTHDew,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
185,03bUVFHsLYzwe,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
186,03buwta33iKQz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
187,03bv7th5QFaGr,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
188,03BVGZzVSHhrC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
189,03Bvhhm6Q34q6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
190,03BwHuyGKeLi5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
191,03bWJS9uhvJHJ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
192,03BXmsVnStDzB,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
193,03BXYETd4mdKT,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
194,03c3u9XxKckkz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
195,03c4m9LK6QetG,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
196,03C7w8i2zvda9,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
197,03cbKEVcMXtbY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
198,03cd3ghnwVkzW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
199,03CfD9kuRfhiY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
200,03CgcepjasZEF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
201,03CgSrDzwjyrq,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
202,03cGthP4M2YHW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
203,03ChBTyLA4254,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
204,03cHE6Ngc2R8r,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
205,03chNFjfxp8ny,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
206,03CHWn5YY4zni,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
207,03cJkdVTFjXM4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
208,03cLrvVP2Hp6j,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
209,03cNLat8SFiR5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
210,03cnR9kkiQPyd,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
211,03cQAEgu2HwJy,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
212,03cqGnMwHrQdZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
213,03CQSxghjBK27,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
214,03CrmjJ75h7aO,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
215,03cSJwwZTBTgF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
216,03CT7ZULGNyVs,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
217,03CVK8qcP7BUX,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
218,03CVRy5pJsBwy,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
219,03CVTbiZLU7M6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
220,03CWTmQESXxna,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
221,03cXdOOrhskiB,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
222,03cxg9bY4Bftb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
223,03cYmShakAf2X,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
224,03CynHPDURF4N,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
225,03d2gspQXa3yS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
226,03D5AfdZsxSZS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
227,03d5f6dSe8Huh,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
228,03d6M77bnQnLw,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
229,03d6OeswtmsXu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
230,03d8GuABqgGXM,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
231,03D8TydQK6pvu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
232,03dAbG6ez4Jyg,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
233,03DAn8QCu5AQR,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
234,03DAZMy74n384,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
235,03dBJOtO7k3w8,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
236,03dbug9nGfESx,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
237,03dCEraiFdUO8,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
238,03DcJagSYUDsU,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
239,03dCXUwmKCjWH,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
240,03ddCq6cMY6C4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
241,03dDuX75hVn4X,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
242,03den5w8hhPPJ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
243,03deNfjhLXafe,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
